Group ID,Temporal sequence,Group size,Cumulative rainfall (mm),Average maximum temperature (degrees C),fGC (g/ng dry feces)
4,28,36,48.8,31.2,55.9
4,29,35,0.0,30.2,68.9
4,30,34,0.0,30.3,77.6
4,31,35,0.8,28.8,87.6
4,32,35,1.0,32.1,61.5
4,33,36,7.2,34.0,75.6
4,34,36,50.5,32.4,56.4
4,35,38,130.9,31.0,71.5
4,36,38,5.4,32.3,67.7
4,37,39,9.8,36.1,69.3
4,38,38,12.7,36.0,70.1
4,39,40,19.6,34.6,64.4
4,40,41,101.8,29.8,63.6
4,41,44,0.0,30.5,44.8
4,42,44,0.0,29.8,59.5
4,43,45,0.0,30.6,87.0
4,44,44,0.0,32.6,72.2
4,45,45,0.8,33.8,90.7
4,46,44,27.6,32.4,63.9
4,47,43,7.0,33.4,79.5
4,48,43,68.0,32.7,84.5
4,49,46,42.6,32.4,79.0
4,50,47,30.8,35.0,67.4
4,51,46,30.6,33.3,54.9
4,52,47,6.6,33.0,33.9
4,53,46,0.0,30.4,69.4
4,54,42,0.0,30.8,57.1
4,55,41,0.0,30.7,51.2
4,56,40,0.2,32.7,72.3
4,57,42,7.8,33.5,34.3
4,58,44,11.0,34.0,37.6
4,59,45,77.6,33.3,36.6
4,60,45,16.6,35.1,52.5
4,61,47,0.0,35.8,41.4
4,62,45,116.2,35.3,47.4
4,63,48,90.4,33.2,82.7
4,64,45,23.9,33.4,55.5
4,65,47,4.2,31.1,61.0
4,66,46,1.0,29.0,70.9
4,67,44,0.0,29.8,71.5
4,68,47,0.0,32.8,71.3
4,69,48,4.6,34.4,74.4
4,70,51,30.0,32.7,79.7
4,71,50,0.0,34.2,54.3
4,72,49,10.8,34.5,85.7
4,73,50,13.4,35.8,72.1
4,74,52,106.8,34.4,61.3
4,75,51,36.6,32.5,80.8
4,76,51,27.4,32.4,67.6
4,77,51,0.0,31.8,89.6
4,78,51,0.0,29.4,91.0
4,79,55,0.0,32.0,112.4
4,80,54,0.0,32.0,62.6
